"Age","Sexe","CSP","Region","RS_quotidien","Protection_donnees","Internet_utilite","Mefiance_arnaques","Messages_vs_appels","Tech_generations","Achats_en_ligne","Ecrans_nuisent","RS_vie_privee","Temps_ecran","Confiance_paiement","Actu_en_ligne","IA_fiable","Tech_avantages","Dependance_numerique","Cinema","Lecture_vs_films","Culture_essentielle","Lecture_frequente","Musique_quotidienne","Culture_accessible","Streaming","Culture_chere","Musees","Culture_generations","Nouveaux_styles","Culture_locale","Culture_vs_sport","Culture_temps","Film_seul","Instagram","TikTok","Abonnement_streaming","Voyage_etranger","Salle_sport","Ebook","Benevolat","Actu_quotidienne","Sommeil_7h"
37,"Femme","Professionnel","Sud",2,2,5,3,4,4,2,5,3,5,4,2,5,5,2,2,3,5,4,4,4,2,4,3,5,5,4,5,5,2,"Non","Non","Non","oui","Non","oui","oui","Non","oui"
22,"Homme","Etudiant","Nord",5,4,5,5,1,2,1,3,1,5,1,4,4,5,5,3,1,5,1,4,5,5,5,3,5,5,4,3,1,2,"Non","oui","oui","Non","oui","Non","Non","oui","Non"
62,"Homme","Professionnel","Sud",4,3,4,2,4,5,3,5,3,4,4,2,4,5,2,4,3,4,4,4,3,3,5,4,3,5,2,4,5,1,"oui","oui","Non","oui","oui","Non","oui","Non","Non"
21,"Femme","Etudiant","Centre",5,2,4,1,2,3,3,5,1,2,2,4,5,1,5,3,4,3,3,2,5,5,5,3,5,4,5,3,1,4,"oui","oui","Non","Non","oui","Non","Non","Non","oui"
22,"Femme","Etudiant","Sud",5,4,4,3,5,5,4,4,1,4,3,5,4,5,4,4,3,5,2,3,4,1,2,1,5,1,4,1,5,1,"oui","oui","Non","Non","oui","Non","oui","oui","Non"
22,"Homme","Etudiant","Nord",5,2,4,4,4,5,4,5,1,3,3,4,5,4,4,4,1,5,1,5,4,5,5,2,3,5,3,2,1,5,"Non","Non","Non","Non","Non","Non","Non","oui","Non"
22,"Homme","Etudiant","Nord",5,5,5,5,1,2,3,3,3,4,3,3,5,4,3,5,5,4,4,5,4,3,3,2,4,3,5,5,1,1,"oui","Non","Non","oui","oui","oui","oui","oui","oui"
63,"Homme","Professionnel","Centre",2,2,1,1,2,4,5,1,1,3,2,2,5,1,1,2,3,2,1,2,4,5,2,1,1,2,1,5,2,3,"oui","Non","oui","oui","oui","oui","oui","oui","Non"
24,"Femme","Etudiant","Nord",5,5,4,1,5,3,1,4,1,4,1,5,2,4,4,3,5,5,2,5,5,3,2,1,3,5,1,1,2,1,"oui","oui","Non","Non","oui","Non","Non","oui","oui"
23,"Homme","Etudiant","Nord",4,3,5,5,5,4,4,3,3,4,3,2,4,3,5,1,1,5,1,4,5,4,3,1,3,5,5,2,2,1,"oui","oui","oui","Non","oui","oui","Non","Non","oui"
22,"Homme","Etudiant","Centre",5,4,5,3,5,5,2,5,1,5,2,3,2,2,3,3,1,3,1,1,3,4,5,2,5,3,5,3,2,3,"oui","oui","oui","Non","Non","Non","oui","oui","Non"
22,"Femme","Etudiant","Nord",5,5,5,5,5,4,5,3,3,2,3,5,4,4,5,2,3,2,2,5,5,5,5,5,5,5,3,4,1,1,"oui","Non","oui","oui","Non","oui","Non","oui","oui"
67,"Homme","Retraité","Sud",5,3,3,1,1,3,5,2,3,4,4,3,4,3,3,3,2,2,2,1,3,5,4,2,5,5,4,4,4,3,"oui","oui","oui","Non","Non","oui","Non","Non","Non"
24,"Femme","Etudiant","Centre",1,1,2,2,1,1,4,1,3,2,1,1,1,3,4,4,5,5,5,5,3,5,2,5,5,3,2,2,2,1,"oui","oui","Non","Non","oui","Non","oui","oui","oui"
23,"Femme","Etudiant","Nord",3,2,3,2,5,4,4,3,2,5,3,5,3,2,4,5,1,5,2,5,5,1,3,5,5,5,5,5,1,4,"oui","oui","Non","Non","oui","Non","oui","oui","Non"
54,"Femme","Professionnel","Sud",4,4,1,2,2,2,4,4,3,3,3,4,2,4,3,1,2,2,1,2,4,4,4,3,5,4,3,3,5,3,"Non","oui","oui","Non","oui","oui","oui","Non","oui"
18,"Femme","Etudiant","Centre",3,3,3,2,2,3,4,3,2,3,4,3,4,3,3,3,2,4,2,2,3,4,3,3,2,5,2,4,5,3,"oui","oui","oui","oui","oui","Non","oui","Non","Non"
25,"Femme","Etudiant","Centre",3,1,3,3,4,4,4,3,3,4,4,1,3,4,3,4,1,3,2,1,3,5,3,4,4,4,2,4,4,3,"oui","Non","Non","oui","oui","Non","oui","Non","Non"
57,"Femme","Professionnel","Sud",1,1,2,2,1,2,3,1,2,2,1,5,1,2,5,2,1,3,2,1,2,4,4,2,1,3,3,2,2,5,"Non","oui","oui","oui","oui","Non","oui","oui","oui"
29,"Femme","Professionnel","Sud",1,2,1,1,2,3,5,1,2,2,2,2,5,1,1,2,2,1,2,2,5,5,1,2,2,2,2,2,1,1,"Non","Non","oui","Non","Non","oui","Non","Non","Non"
22,"Homme","Etudiant","Nord",5,5,2,5,4,4,1,4,1,2,1,5,3,4,3,2,2,3,3,4,2,5,1,5,4,4,2,2,2,2,"oui","Non","Non","oui","Non","Non","Non","oui","oui"
44,"Homme","Professionnel","Nord",2,2,3,1,2,5,5,1,2,5,1,2,5,2,1,2,2,1,1,4,3,5,1,3,2,1,2,5,1,1,"Non","oui","Non","oui","Non","oui","oui","Non","oui"
22,"Homme","Etudiant","Nord",5,3,4,5,5,5,4,5,1,5,4,4,5,3,3,5,4,4,4,5,4,4,5,4,4,5,5,5,5,4,"oui","oui","oui","oui","Non","oui","oui","oui","oui"
